Abdomen, Acute	C23.888.821.030.249
Abdominal Abscess	C01.539.830.025.020
Abdominal Injuries	C26.017
Abdominal Neoplasms	C04.588.033
Abdominal Pain	C23.888.821.030
Aberrant Crypt Foci	C04.834.020
Abnormalities, Multiple	C16.131.077
Abnormal Karyotype	G05.365.590.175.024
Abortion, Habitual	C13.703.039.089
Abortion, Incomplete	C13.703.039.093
Abortion, Missed	C13.703.039.173
Abortion, Septic	C13.703.039.256
Abortion, Spontaneous	C13.703.039
Abortion, Threatened	C13.703.039.339
Abruptio Placentae	C13.703.420.078
Abscess	C23.550.470.756.100
Acalculous Cholecystitis	C06.130.564.263.249
Acanthocheilonemiasis	C03.335.508.700.750.361.137
Acanthosis Nigricans	C17.800.621.430.530.100
Achlorhydria	C18.452.076.087
Achondroplasia	C16.320.240.500
Acidosis	C18.452.076.176
Acidosis, Lactic	C18.452.076.176.180
Acidosis, Respiratory	C18.452.076.176.310
Acinetobacter Infections	C01.252.400.560.022
Acne Keloid	C17.800.030.030
Acne Vulgaris	C17.800.030.150
Acquired Hyperostosis Syndrome	C05.116.099.708.025
Acquired Immunodeficiency Syndrome	C20.673.480.040
Acrodermatitis	C17.800.174.100
Acromegaly	C10.228.140.617.738.250.100
ACTH-Secreting Pituitary Adenoma	C10.228.140.617.738.675.149
ACTH Syndrome, Ectopic	C04.730.713.317
Acute Chest Syndrome	C15.378.071.141.150.150.219
Acute Coronary Syndrome	C23.888.646.215.500.074
Acute Disease	C23.550.291.125
Acute Kidney Injury	C12.777.419.780.050
Acute Lung Injury	C08.381.520.500
Acute Pain	C23.888.646.115
Acute Radiation Syndrome	N06.850.810.300.360.158
Adamantinoma	C04.588.149.030
Addison Disease	C20.111.163
Adenocarcinoma, Bronchiolo-Alveolar	C04.557.470.200.025.030
Adenocarcinoma	C04.557.470.200.025
Adenocarcinoma, Clear Cell	C04.557.470.200.025.045
Adenocarcinoma, Follicular	C04.557.470.200.025.060
Adenocarcinoma, Mucinous	C04.557.470.590.075
Adenocarcinoma, Papillary	C04.557.470.200.025.085
Adenocarcinoma, Scirrhous	C04.557.470.200.025.095
Adenoma, Acidophil	C04.557.580.625.650.025
Adenoma, Basophil	C04.557.580.625.650.075
Adenoma	C04.557.470.035
Adenoma, Chromophobe	C04.557.580.625.650.095
Adenoma, Islet Cell	C19.344.421.249
Adenoma, Liver Cell	C04.588.274.623.040
Adenoma, Pleomorphic	C04.557.435.090
Adenomatous Polyposis Coli	C16.320.700.100
Adenomatous Polyps	C04.557.470.035.215
Adenomyoepithelioma	C04.557.435.108
Adenomyosis	C13.351.500.852.113
Adenoviridae Infections	C02.256.076
Adenovirus Infections, Human	C02.256.076.045
Adjustment Disorders	F03.075
Adnexal Diseases	C13.351.500.056
