ncats_id	attribute	value
ABT-089	canonical	ABT-089
ABT-288	canonical	ABT-288
ABT-639	canonical	ABT-639
AVE0847	canonical	AVE0847
AVE0847	synonym	AVE-0847
AVE5530	canonical	AVE5530
AVE5530	synonym	Canosimibe
AVE5530	synonym	AVE-5530
AVE8134	canonical	AVE8134
AVE8134	synonym	AVE-8134
AZD0328-2016	canonical	AZD0328-2016
AZD0328-2016	synonym	AZD-0328
AZD0328-2016	synonym	AZD0328
AZD0530-2016	canonical	AZD0530-2016
AZD0530-2016	synonym	Saracatinib
AZD0530-2016	synonym	AZD-0530
AZD0530-2016	synonym	AZD0530
AZD1208	canonical	AZD1208
AZD1208	synonym	AZD-1208
AZD1236	canonical	AZD1236
AZD1236	synonym	AZD-1236
AZD1656-2016	canonical	AZD1656-2016
AZD1656-2016	synonym	AZD-1656
AZD1656-2016	synonym	AZD1656
AZD1775-2016	canonical	AZD1775-2016
AZD1775-2016	synonym	AZD-1775
AZD1775-2016	synonym	AZD1775
AZD1981	canonical	AZD1981
AZD1981	synonym	AZD-1981
AZD2014-2016	canonical	AZD2014-2016
AZD2014-2016	synonym	Vistuserib
AZD2014-2016	synonym	AZD-2014
AZD2014-2016	synonym	AZD2014
AZD2171	canonical	AZD2171
AZD2171	synonym	cediranib
AZD2171	synonym	AZD-2171
AZD2423	canonical	AZD2423
AZD2423	synonym	AZD-2423
AZD2624	canonical	AZD2624
AZD2624	synonym	AZD-2624
AZD3241-2016	canonical	AZD3241-2016
AZD3241-2016	synonym	AZD-3241
AZD3241-2016	synonym	AZD3241
AZD3355-2016	canonical	AZD3355-2016
AZD3355-2016	synonym	Lesogaberan
AZD3355-2016	synonym	AZD-3355
AZD3355-2016	synonym	AZD3355
AZD4017-2016	canonical	AZD4017-2016
AZD4017-2016	synonym	AZD-4017
AZD4017-2016	synonym	AZD4017
AZD4547-2016	canonical	AZD4547-2016
AZD4547-2016	synonym	AZD-4547
AZD4547-2016	synonym	AZD4547
AZD5069-2016	canonical	AZD5069-2016
AZD5069-2016	synonym	AZD-5069
AZD5069-2016	synonym	AZD5069
AZD5213-2016	canonical	AZD5213-2016
AZD5213-2016	synonym	AZD-5213
AZD5213-2016	synonym	AZD5213
AZD5363-2016	canonical	AZD5363-2016
