uniprot_disease_accession	attribute	value
DI-04240	canonical	2,4-dienoyl-CoA reductase deficiency.
DI-04240	definition	A rare, autosomal recessive, inborn error of polyunsaturated fatty acids and lysine metabolism, resulting in mitochondrial dysfunction. Affected individuals have a severe encephalopathy with neurologic and metabolic abnormalities beginning in early infancy. Laboratory studies show increased C10:2 carnitine levels and hyperlysinemia.
DI-04240	MIM_id	 616034
DI-04240	acronym	DECRD.
DI-04240	MedGen_id	 CN037048.
DI-04240	MeSH_id	 D020167.
DI-04240	MeSH_id	 D028361.
DI-03673	canonical	2-aminoadipic 2-oxoadipic aciduria.
DI-03673	definition	A metabolic disorder characterized by increased levels of 2-oxoadipate and 2-hydroxyadipate in the urine, and elevated 2-aminoadipate in the plasma. Patients can have mild to severe intellectual disability, muscular hypotonia, developmental delay, ataxia, and epilepsy. Most cases are asymptomatic.
DI-03673	MIM_id	 204750
DI-03673	acronym	AMOXAD.
DI-03673	MedGen_id	 C1859817.
DI-03673	MeSH_id	 D000592.
DI-00001	canonical	2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency.
DI-00001	definition	A disorder that leads to neurological abnormalities, including psychomotor retardation and, in virtually all patients, loss of mental and motor skills.
DI-00001	synonym	3-hydroxyacyl-CoA dehydrogenase type 2 deficiency.
DI-00001	synonym	3-hydroxyacyl-CoA dehydrogenase type II deficiency.
DI-00001	synonym	3-hydroxyacyl-CoA dehydrogenase type-2 deficiency.
DI-00001	MIM_id	 300438
DI-00001	acronym	MHBD deficiency.
DI-00001	MedGen_id	 C1845517.
DI-00001	MeSH_id	 D020739.
DI-00002	canonical	3-alpha-hydroxyacyl-CoA dehydrogenase deficiency.
DI-00002	definition	A metabolic disorder with various clinical presentations including hypoglycemia, hepatoencephalopathy, myopathy or cardiomyopathy, and in some cases sudden death.
DI-00002	synonym	HAD deficiency.
DI-00002	synonym	Hydroxyacyl-coenzyme A dehydrogenase deficiency.
DI-00002	synonym	SCHAD deficiency.
DI-00002	MIM_id	 231530
DI-00002	acronym	HADH deficiency.
DI-00002	MedGen_id	 C1291230.
DI-00002	MeSH_id	 D008659.
DI-00003	canonical	3-hydroxy-3-methylglutaryl-CoA lyase deficiency.
DI-00003	definition	An autosomal recessive disease affecting ketogenesis and L-leucine catabolism. The disease usually appears in the first year of life after a fasting period and its clinical acute symptoms include vomiting, seizures, metabolic acidosis, hypoketotic hypoglycemia and lethargy. These symptoms sometimes progress to coma, with fatal outcome in some cases.
DI-00003	synonym	HL deficiency.
DI-00003	synonym	HMG-CoA lyase deficiency.
DI-00003	synonym	HMGCL deficiency.
DI-00003	synonym	Hydroxymethylglutaric aciduria.
DI-00003	synonym	Hydroxymethylglutaricaciduria.
DI-00003	MIM_id	 246450
DI-00003	acronym	HMGCLD.
DI-00003	MedGen_id	 C0268601.
DI-00003	MeSH_id	 D000592.
DI-01751	canonical	3-hydroxy-3-methylglutaryl-CoA synthase-2 deficiency.
