wsa	capds	capis	direction	cappkey
ACAT1?	0	0.669333	0	MOA_ACAT1?
AKT1?	1.01548	3.36373	0	MOA_AKT1?
ATR?	0	0.670347	0	MOA_ATR?
B4DK78? CHRNA4?	0.504903	0	0	MOA_B4DK78?_CHRNA4?
B4DK78? CHRNA4? CHRNB2?	0.504903	0.651602	0	MOA_B4DK78?_CHRNA4?_CHRNB2?
CCKAR?	0.504863	1.91953	0	MOA_CCKAR?
CCL2?	0.504877	0	0	MOA_CCL2?
CCR2? CCR2?	0	1.30672	0	MOA_CCR2?_CCR2?
CHRFAM7A? CHRNA7?	0	0.643936	0	MOA_CHRFAM7A?_CHRNA7?
CNR1? CNR1?	0.50493	1.31509	0	MOA_CNR1?_CNR1?
CNR2?	0.51956	1.28109	0	MOA_CNR2?
CRHR1? CRHR1? CRHR1? CRHR1?	0.50493	1.34284	0	MOA_CRHR1?_CRHR1?_CRHR1?_CRHR1?
CXCR2?	0	1.3064	0	MOA_CXCR2?
DRD2? DRD3? HTR6?	1.01165	1.29609	0	MOA_DRD2?_DRD3?_HTR6?
EDNRA?	0	2.59787	0	MOA_EDNRA?
EGFR?	0.504877	2.68034	0	MOA_EGFR?
ESR1? ESR1? ESR2? Q9UBT1?	1.02864	2.67673	0	MOA_ESR1?_ESR1?_ESR2?_Q9UBT1?
ESR2?	0.504877	1.3111	0	MOA_ESR2?
FGFR1? FGFR2? FGFR2? FGFR3? FGFR3?	1.51871	2.01319	0	MOA_FGFR1?_FGFR2?_FGFR2?_FGFR3?_FGFR3?
FLT1? FLT4? KDR?	0.504877	2.00425	0	MOA_FLT1?_FLT4?_KDR?
GABBR1? GABBR2? Q59HG8?	0.504877	1.30072	0	MOA_GABBR1?_GABBR2?_Q59HG8?
GABRA2? GABRA3?	0.504863	0	0	MOA_GABRA2?_GABRA3?
GHSR?	0	1.9478	0	MOA_GHSR?
GRIN2A? GRIN2B?	0.504877	0.666927	0	MOA_GRIN2A?_GRIN2B?
GRM2? Q86YG3?	0	1.30443	0	MOA_GRM2?_Q86YG3?
HRH1? HRH3? HRH3?	0	1.92818	0	MOA_HRH1?_HRH3?_HRH3?
HRH3? HRH3?	0	1.28851	0	MOA_HRH3?_HRH3?
HSD11B1?	0.504877	0	0	MOA_HSD11B1?
HTR1B?	0.505008	1.28885	0	MOA_HTR1B?
HTR2A? HTR2C? K9J958?	0.505325	1.92014	0	MOA_HTR2A?_HTR2C?_K9J958?
HTR4?	0.504877	0.652671	0	MOA_HTR4?
HTR7?	0.519507	0.648954	0	MOA_HTR7?
IL18?	0.50489	1.33413	0	MOA_IL18?
MCHR1?	0.50489	1.92585	0	MOA_MCHR1?
MMP12? MMP9?	0	1.30694	0	MOA_MMP12?_MMP9?
MMP2?	0.507541	0	0	MOA_MMP2?
MTOR?	0.504863	1.34299	0	MOA_MTOR?
NOS2?	0.504903	0.668611	0	MOA_NOS2?
OPRD1?	0	1.29385	0	MOA_OPRD1?
OPRL1? Q8IXB0?	0	1.30571	0	MOA_OPRL1?_Q8IXB0?
P2RX7?	0.504917	0	0	MOA_P2RX7?
PGR?	0	1.3231	0	MOA_PGR?
PPARA?	0	1.33415	0	MOA_PPARA?
PPARA? PPARG? PPARG?	0	1.33451	0	MOA_PPARA?_PPARG?_PPARG?
PTGDR2?	0	1.28485	0	MOA_PTGDR2?
SRC?	0	2.68701	0	MOA_SRC?
STAT3?	0.504877	2.67693	0	MOA_STAT3?
TACR3?	1.51872	2.00846	0	MOA_TACR3?
TRPV1?	0	0.636954	0	MOA_TRPV1?
