uniprot	ev	fold	tisscnt	avDir
A0A024R2Q0	-0.3025	-0.0464	1	-1
A0A024R9X9	0.1614	0.0349	1	1
A0A024RD25	-0.3828	-0.1597	1	-1
A0A0A6YYA8	0.4612	0.146	1	1
A0A125SXW3	0.6646	0.0658	1	1
A0A1U6XTF7	0.1614	0.0349	1	1
B4DK78	-0.647	-0.1613	1	-1
E9PFX5	-0.01294	-0.003	1	-1
K9J956	0.1614	0.0349	1	1
K9J958	-0.4492	-0.0724	1	-1
O00141	-0.02404	-0.0179	1	-1
O00268	0.0657	0.0191	1	1
O00311	0.5324	0.3223	1	1
O00329	0.3376	0.0731	1	1
O00763	0.5173	0.3192	1	1
O14543	-0.3172	-0.0928	1	-1
O14746	-0.2516	-0.0451	1	-1
O14757	0.6514	0.5378	1	1
O14786	-0.7382	-0.6802	1	-1
O14944	-0.5745	-0.1313	1	-1
O15254	-0.5386	-0.1084	1	-1
O15520	0.5912	0.1134	1	1
O15530	-0.2945	-0.0433	1	-1
O15554	0.4975	0.0809	1	1
O43524	-0.08137	-0.0168	1	-1
O43915	0.04728	0.0175	1	1
O60258	-0.422	-0.1036	1	-1
O60343	-0.1624	-0.0956	1	-1
O60346	-0.5354	-0.0745	1	-1
O60462	0.3616	0.4186	1	1
O60671	0.2853	0.0977	1	1
O60674	0.1966	0.0653	1	1
O60716	-0.3955	-0.1039	1	-1
O60921	-0.1315	-0.035	1	-1
O75376	0.19	0.0561	1	1
O75385	-0.2902	-0.0699	1	-1
O75419	0.6367	0.7507	1	1
O75899	-0.8151	-1.325	1	-1
O76074	0.491	0.4048	1	1
O95180	-0.5281	-0.1806	1	-1
O95256	-0.6882	-0.1418	1	-1
O95998	-0.01574	-0.0041	1	-1
O96017	0.2504	0.1409	1	1
P00533	-0.1865	-0.0887	1	-1
P00747	0.3506	0.2413	1	1
P00749	-0.5862	-0.7354	1	-1
P01033	-0.2161	-0.0837	1	-1
P01100	-0.3609	-0.5066	1	-1
P01106	-0.4559	-0.4201	1	-1
P01111	0.09512	0.0146	1	1
P01112	-0.4483	-0.0863	1	-1
P01116	-0.3907	-0.1621	1	-1
P01133	0.02819	0.0174	1	1
P01135	-0.202	-0.2618	1	-1
P01189	-0.294	-0.0486	1	-1
P01236	-0.1741	-0.0349	1	-1
P01308	0.3231	0.0512	1	1
P01350	0.3823	0.1036	1	1
P01579	-0.7209	-0.2149	1	-1
P01584	-0.1045	-0.0198	1	-1
P02775	0.1717	0.0327	1	1
P03372	0.6646	0.0658	1	1
P04155	0.1459	0.0202	1	1
P04626	0.2473	0.2508	1	1
P04637	0.06406	0.0158	1	1
P05019	-0.6775	-0.1384	1	-1
P05164	-0.07475	-0.0125	1	-1
P05230	-0.4275	-0.5815	1	-1
P05231	0.1237	0.0211	1	1
P05305	-0.0676	-0.0186	1	-1
P05412	-0.5	-0.3861	1	-1
P06239	-0.3803	-0.0711	1	-1
P06241	-0.2714	-0.1566	1	-1
P06307	0.2801	0.0663	1	1
P06401	-0.7105	-0.1663	1	-1
P06493	0.7387	0.5907	1	1
P06730	-0.1269	-0.0254	1	-1
P06744	-0.1566	-0.0395	1	-1
P06850	-0.295	-0.0506	1	-1
P07900	0.0009812	0.0002	1	1
P07948	0.284	0.1092	1	1
P08069	-0.5438	-0.3131	1	-1
P08246	-0.1567	-0.0291	1	-1
P08253	-0.1386	-0.1169	1	-1
P08620	-0.2364	-0.0388	1	-1
P08670	0.1542	0.0765	1	1
P08887	0.3232	0.0611	1	1
P09038	-0.3725	-0.1432	1	-1
P09341	-0.4375	-0.0671	1	-1
P09917	0.4659	0.0757	1	1
P0DP23	0.5548	0.1251	1	1
P10145	0.06609	0.0111	1	1
P10275	0.3746	0.1704	1	1
P10415	0.6569	0.1719	1	1
P10767	-0.2582	-0.0419	1	-1
P11309	-0.3828	-0.1597	1	-1
P11310	0.6405	0.1666	1	1
P11362	-0.1456	-0.035	1	-1
P11487	-0.7472	-0.1784	1	-1
P12034	0.6107	0.1347	1	1
